Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10u,
"C3, C4",0603,2,100n,
"FB1, FB2",0805,2,330u,
J1,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical_SMD,1,Power,
"J2, J3",Solderpad-SYNKIEPAD-2mm,2,Input,
"J4, J5",Solderpad-SYNKIEPAD-2mm,2,Output,
N1,Frontplate_10mm,1,Housing,
"R1, R2, R3, R5, R7, R8",0805,6,10k,
"R4, R6",0805,2,50k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LMH6643,
